OBJECTID,GEOID,ACCESS_,Shape__Area,Shape__Length
5464,421010169024003,Low Access,175623.623291016,1675.25367294142
5465,421010171004018,Low Access,42000.00390625,887.495431794374
5466,421010169024016,Low Access,53969.6912231445,1079.13423577149
5467,421010169023014,High Access,83360.0902709961,1173.594412682
5468,421010169023017,High Access,55049.6483764648,1148.08250027957
5469,421010169022008,High Access,89671.876159668,1488.74891546208
5470,421010169022004,High Access,34164.9193725586,749.173716736002
5471,421010151012001,High Access,62428.7395629883,1119.86166770545
5472,421010151012007,Moderate Access,95578.7119750977,1324.82474519319
5473,421010151012000,High Access,31628.8511962891,865.866026074124
5474,421010169022016,High Access,74704.7855224609,1232.32890391243
5475,421010169022015,High Access,48758.8185424805,1115.9858709428
5476,421010169022018,High Access,137189.55859375,1516.19038281094
5477,421010151023003,High Access,76140.5809326172,1250.05388922534
5478,421010172023000,Low Access,60478.2799072266,1099.13775184359
5479,421010169013008,High Access,73827.1608886719,1371.50803866159
5480,421010169013000,Moderate Access,68192.3153686523,1138.80791488664
5481,421010172023007,Low Access,51613.7255859375,1059.65898329702
5482,421010172024009,High Access,79055.606628418,1253.15947626357
5483,421010172024007,Moderate Access,58445.1892700195,1162.73346962632
5484,421010169011003,Moderate Access,93112.391784668,1310.82393075116
5485,421010169011010,High Access,105852.552734375,1373.26159332638
5486,421010169013012,High Access,131000.187927246,1575.33838737303
5487,421010169011015,Moderate Access,68767.825378418,1206.80902560798
5488,421010169013020,High Access,236343.613525391,1972.20670147208
5489,421010169012010,High Access,124496.289367676,1454.96323213253
5490,421010169012004,High Access,124464.425231934,1462.3092217114
5491,421010151021000,High Access,173583.861877441,2008.55999924781
5492,421010152002002,High Access,46900.2222290039,1792.46586783821
5493,421010171004014,Low Access,88392.6135864258,1413.01034318445
5494,421010171004019,Low Access,44116.493347168,898.830437639646
5495,421010172024001,High Access,73868.8386230469,1369.49512614014
5496,421010169023013,High Access,15486.1246948242,631.720116718145
5497,421010172021003,Low Access,86815.0151367188,1419.63412086489
5498,421010172021002,Low Access,91202.8416748047,1440.44470683789
5499,421010172024003,Moderate Access,86890.5658569336,1419.03155523414
5500,421010169022012,High Access,54426.8225097656,1138.2875231583
5501,421010169013019,High Access,132386.361572266,1495.97647408383
5502,421010151023011,High Access,69436.430847168,1300.75351369066
5503,421010151023002,High Access,98822.3499755859,1498.99627461975
5504,421010172023002,Low Access,80290.9401855469,1439.76321462108
5505,421010169021007,High Access,54380.2309570313,1078.02928387194
5506,421010169013006,High Access,53196.6442260742,1078.7135964665
5507,421010172023008,Low Access,72399.9869995117,1164.90157194692
5508,421010152002025,Low Access,50500.1306762695,899.369553075465
5509,421010172021008,Low Access,86953.8811645508,1424.00821747347
5510,421010172021009,Low Access,71487.1493530273,1354.93082086722
5511,421010169024005,Low Access,80788.0377807617,1244.45838833905
5512,421010169021000,Low Access,83723.5443725586,1278.07164850038
5513,421010169023005,High Access,87838.5541381836,1415.53813701164
5514,421010169021010,High Access,74559.1295166016,1373.7311732955
5515,421010169022006,High Access,36068.1259765625,929.947716973928
5516,421010169022007,High Access,134969.042541504,1613.89595624437
5517,421010169013010,High Access,109152.299987793,1496.0434025173
5518,421010172022000,Low Access,85584.703918457,1404.96264595432
5519,421010169011002,Moderate Access,69233.5598754883,1216.07721928794
5520,421010169011016,High Access,142886.425476074,1536.23886781373
5521,421010169011007,High Access,87681.1505126953,1291.89546102307
5522,421010169012007,High Access,61872.69140625,1175.622407012
5523,421010151021004,High Access,51006.557800293,904.241060831116
5524,421010151021006,High Access,21325.2412109375,738.305793424042
5525,421010169012008,High Access,62803.7857055664,1180.59926691444
5526,421010151021001,High Access,47421.6109619141,1834.09829031953
5527,421010172021004,Low Access,75489.5534667969,1378.18581740604
5528,421010169013017,High Access,325882.906188965,2821.98356244747
5529,421010151023012,High Access,58877.1888427734,1173.76615882885
5530,421010172023004,Low Access,83673.6521606445,1402.0638434456
5531,421010169013002,High Access,58683.5529174805,1174.32655260087
5532,421010168001018,High Access,49101.3203125,1771.38728380221
5533,421010172023001,Low Access,91261.7398681641,1476.1506913581
5534,421010169021009,High Access,92442.7996826172,1438.45681105801
5535,421010169013016,High Access,93910.8477783203,1442.21953929532
5536,421010169013005,High Access,115125.031311035,1378.34070112522
5537,421010172024000,High Access,86838.6221923828,1415.22161368023
5538,421010172012008,High Access,93255.5900878906,1485.81715081532
5539,421010172012006,High Access,92406.0559082031,1485.39547266436
5540,421010168001006,High Access,161440.917297363,2105.23139069032
5541,421010172022003,Low Access,104301.639770508,1469.70294583184
5542,421010172021007,Low Access,76055.005065918,1382.37987311016
5543,421010169021013,High Access,73435.7933959961,1366.26612806239
5544,421010169021011,High Access,89316.0297241211,1425.97586120567
5545,421010169023021,High Access,60073.0249023438,1167.66111836291
5546,421010169022003,High Access,70410.7044677734,1215.68634210455
5547,421010151023008,High Access,93565.6033935547,1290.84560942037
5548,421010169022014,High Access,85507.5189208984,1278.54913638556
5549,421010169023019,High Access,67178.9114990234,1215.09301478581
5550,421010151023010,High Access,96869.7147827148,1527.42670710405
5551,421010169013007,High Access,93377.4345703125,1442.15034402791
5552,421010169013003,High Access,62773.5586547852,1193.17213137739
5553,421019800001048,Low Access,31884.4670410156,842.28390150609
5554,421010151012005,Low Access,102606.241394043,1380.50485484024
5555,421010169024004,Low Access,145847.936340332,1677.91983468838
5556,421010169013009,High Access,87040.7371826172,1418.67758655389
5557,421010172024006,Moderate Access,69785.1787109375,1217.27317506763
5558,421010169011009,Moderate Access,60768.9002075195,1171.7053615375
5559,421010169012006,High Access,62694.4586791992,1178.73217396962
5560,421010151021007,High Access,63263.889465332,1068.99012640708
5561,421010169012009,High Access,64572.3578491211,1191.51744495666
5562,421010152002024,Low Access,52291.4012451172,914.822052943293
5563,421010152002009,High Access,12250.2197265625,512.654757086841
5564,421010171002007,Low Access,7467.70599365234,337.012142260243
5565,421010172012007,High Access,78265.462890625,1436.63740326205
5566,421010171004007,No Access,35761.4995117188,2581.60594242098
5567,421010168001002,High Access,109911.678100586,1348.57117772673
5568,421010172023006,Low Access,51667.1757202148,1061.66734895125
5569,421010169011001,High Access,102757.68359375,1358.52742794138
5570,421010169011014,Moderate Access,67299.274230957,1202.88777172519
5571,421010169012015,High Access,32993.8923339844,879.083632142578
5572,421010171002003,Low Access,88710.6041870117,1417.65987616062
5573,421010172024002,Moderate Access,88143.6735839844,1421.97394635991
5574,421019800001049,No Access,627152.571777344,2991.47936557184
5575,421010171004017,Low Access,49251.7940673828,937.787155032926
5576,421010169024009,Low Access,32375.3532104492,759.255031636784
5577,421010169023010,Moderate Access,72249.9556274414,1362.81435349173
5578,421010169023015,High Access,31586.9900512695,730.11172807197
5579,421010169023007,High Access,74405.5280761719,1372.68226231448
5580,421010169024013,Low Access,72357.2057495117,1354.98480871767
5581,421010169023006,High Access,85997.6979370117,1410.71043181045
5582,421010172023005,Low Access,56206.9598999023,1105.49747998433
5583,421010169021005,Low Access,64226.5319213867,1130.20034151444
5584,421010169023002,High Access,87836.4052124023,1418.3244775402
5585,421010169023018,High Access,60662.2548828125,1174.70022414144
5586,421010169023020,High Access,71209.9841918945,1212.23421561596
5587,421010151023016,Moderate Access,72670.0499267578,1233.90467844872
5588,421010151023014,High Access,177596.332641602,1682.30041883255
5589,421010169023000,High Access,92142.4924316406,1437.14262672449
5590,421010171004003,Low Access,4106550.10461426,11676.0957530704
5591,421019800001051,Moderate Access,217918.727111816,2832.08105840213
5592,421010151012011,Low Access,88624.8436279297,1316.79360612029
5593,421010171004008,No Access,105542.720397949,1588.38495557043
5594,421010171004004,No Access,63740.3834228516,1096.33790259242
5595,421010172022009,Moderate Access,57547.5033569336,1155.87017638807
5596,421010169011004,High Access,102139.830200195,1354.58388867717
5597,421010169011011,Moderate Access,45687.520690918,1105.48299647917
5598,421010151023000,High Access,94346.0469360352,1482.97944959538
5599,421010151021005,High Access,96542.4005737305,1493.61458658571
5600,421010169012014,High Access,131830.176208496,1463.41300385087
5601,421010169011018,Moderate Access,89656.0572509766,1301.46419770417
5602,421010169012000,High Access,123959.82421875,1452.22563253854
5603,421010172021005,Low Access,89591.2509765625,1435.873281293
5604,421010171002005,Low Access,62076.6499023438,1168.0551547993
5605,421010152002001,Moderate Access,71156.3758544922,3105.11290458447
5606,421019800001052,Low Access,1066194.34710693,4221.50197956537
5607,421010151012010,Low Access,76166.1123657227,1272.28472432667
5608,421010168001001,High Access,123811.98651123,1452.78807601525
5609,421010169024000,Low Access,173219.781494141,1762.9250031149
5610,421010169024012,Low Access,67966.2993164063,1223.90899757784
5611,421010169024006,Low Access,63734.7639160156,1162.19937689798
5612,421010169024008,Low Access,42897.4162597656,881.819646185132
5613,421010169021015,Moderate Access,86041.5692749023,1421.1797415618
5614,421010169021003,Low Access,64475.6424560547,1129.98612197415
5615,421010169021014,Moderate Access,88249.2194213867,1426.1556193692
5616,421010169023003,High Access,87615.3771362305,1416.52462314977
5617,421010169022011,High Access,55512.0917358398,1151.80860472263
5618,421010151012003,Low Access,54875.733215332,1337.57893315575
5619,421010169023022,High Access,28967.0820922852,706.199417958108
5620,421010152002011,Moderate Access,105247.023803711,1374.49591261884
5621,421010152002005,High Access,1102.28002929688,166.655943587925
5622,421010168001017,High Access,26192.0123291016,725.129459453097
5623,421010172022001,Low Access,73656.6903686523,1360.27727467864
5624,421010172021006,Low Access,84813.2537841797,1419.88647717678
5625,421010169011017,High Access,73554.2901000977,1227.70565550903
5626,421010169013018,High Access,43128.6724243164,1020.37176000552
5627,421010151023001,High Access,74449.6033935547,1412.31320351041
5628,421010151021010,High Access,27260.3081665039,677.219345757439
5629,421010169012005,High Access,63095.0053100586,1185.63664356886
5630,421010168001003,High Access,125092.198730469,1458.30066884816
5631,421010169012012,High Access,116004.41998291,1381.67653497135
5632,421010152002010,High Access,100744.828979492,1597.16920364052
5633,421010172024005,Low Access,88078.1102294922,1421.55241090642
5634,421010171002008,Low Access,47491.0104370117,904.489445213624
5635,421010169024007,Low Access,171294.505737305,2393.58560715226
5636,421010169023012,Low Access,92662.1618652344,1255.05154656786
5637,421010151012004,Low Access,116966.114990234,1554.27355604693
5638,421010152002003,High Access,48168.0852661133,1274.62666705713
5639,421010171004009,No Access,158313.008117676,2051.03146256867
5640,421010170001021,No Access,34905.0542602539,2028.97451536622
5641,421010171004013,Low Access,106966.700561523,1362.83619534208
5642,421010169023011,Low Access,96434.3135375977,1453.60339021538
5643,421010169024014,Low Access,90683.5946655273,1441.57731088068
5644,421010169023016,High Access,63581.7646484375,1184.88216449949
5645,421010169021004,Low Access,54713.2459106445,1083.45357515846
5646,421010169023001,High Access,73918.9493408203,1367.80694429634
5647,421010169022013,High Access,55349.9879760742,1143.71253306577
5648,421010151023005,High Access,57584.6657714844,1174.14086673421
5649,421010169013015,High Access,74007.5619506836,1363.66115654349
5650,421010169024001,Low Access,184384.497802734,1804.99207934329
5651,421010172021010,Low Access,31535.3082885742,855.605739259513
5652,421010171004006,No Access,164898.850524902,2109.31764096315
5653,421010172022010,Moderate Access,80805.7891235352,1261.81192457947
5654,421010172024008,High Access,58615.3215942383,1163.54929281228
5655,421010169013011,High Access,112787.219421387,1508.03118801264
5656,421010169011008,Moderate Access,88540.173828125,1294.83748205358
5657,421010169012002,High Access,124573.668640137,1455.26747180748
5658,421010169011005,High Access,73242.5324707031,1226.9543065038
5659,421010169011013,High Access,52782.583190918,1138.27731874044
5660,421010169012013,High Access,132780.10333252,1492.32111011278
5661,421010151021003,High Access,75855.1954345703,1327.72549938703
5662,421010171004012,Low Access,852239.649841309,3668.37705055232
5663,421010171004016,Low Access,127942.604858398,1730.92478733655
5664,421010169012003,High Access,123811.783081055,1450.21879125034
5665,421010169012011,High Access,59128.0752563477,1162.8042683056
5666,421010168001004,High Access,125286.38104248,1445.68486400603
5667,421010152002008,High Access,2931.50439453125,261.265470813877
5668,421010171004015,Low Access,73832.3612060547,1366.13453272466
5669,421010172022005,Low Access,79887.1605224609,1358.00633504005
5670,421010172022004,Low Access,118419.683044434,1539.1783768524
5671,421010169024010,Low Access,66938.9434814453,1142.00910023767
5672,421010169024015,Low Access,61818.6665039063,1118.44093067168
5673,421010169023008,High Access,89097.4739379883,1427.24485820025
5674,421010169021001,Low Access,81325.2719116211,1266.51349247546
5675,421010169021012,High Access,85135.8032836914,1407.6395457522
5676,421010169022005,High Access,46079.13671875,937.564568666783
5677,421010169022010,High Access,245110.082946777,1960.40324773838
5678,421010169022002,High Access,69082.2620239258,1206.88350979524
5679,421010151012008,High Access,70699.6275634766,1196.78772781514
5680,421010151023007,High Access,68203.455871582,1269.23513632727
5681,421010169022017,High Access,134844.544555664,1505.37263852296
5682,421010151023004,High Access,86611.4775390625,1397.43908914442
5683,421010151023013,High Access,61604.7289428711,1186.02867576886
5684,421010169013001,Low Access,79830.9410400391,1265.97148845582
5685,421010151012009,Low Access,76689.5944824219,1233.40134990154
5686,421010168001016,High Access,37266.3776855469,956.103755993093
5687,421010168002001,High Access,93580.6965942383,1319.09271276795
5688,421010169013014,High Access,85195.9869384766,1405.15767133643
5689,421010172022007,Low Access,70247.1768188477,1208.77114557492
5690,421010172022008,Low Access,58291.0010986328,1160.93249542784
5691,421010169013013,High Access,90616.3695068359,1426.72568050289
5692,421010151021011,High Access,14833.1326904297,572.184407841643
5693,421010151021002,High Access,224186.868835449,2220.29962996498
5694,421010169012001,High Access,125363.140686035,1455.11125851945
5695,421010168001015,High Access,78494.7293701172,1256.06287512805
5696,421010152002007,High Access,8792.29046630859,455.169143420391
5697,421010172024004,Moderate Access,75330.8319702148,1380.4498885259
5698,421010172021001,Low Access,74781.7198486328,1384.08868917102
5699,421010169011012,High Access,40729.3817749023,1086.10593466697
5700,421010168002002,High Access,67700.5870361328,1203.43464893795
5701,421010170001023,No Access,277108.971252441,2484.86348481315
5702,421010171004005,No Access,132097.924743652,1298.16064979499
5703,421010172022002,Low Access,86593.4721069336,1408.00545709962
5704,421010169021002,Low Access,91816.615234375,1480.44411049664
5705,421010169024011,Low Access,73794.8302612305,1172.64563198463
5706,421010169023009,Moderate Access,87986.2977905273,1416.79578566054
5707,421010169023004,High Access,70388.7307739258,1352.55288617222
5708,421010169021006,Moderate Access,64897.2662353516,1131.74887160942
5709,421010169022009,High Access,50662.705078125,1068.63036024845
5710,421010169022019,High Access,20013.8173217773,684.690811022017
5711,421010151012002,Moderate Access,100520.08404541,1497.59971880639
5712,421010151023006,High Access,47987.5358276367,967.933091962757
5713,421010151023009,High Access,94659.4236450195,1547.69945865964
5714,421010169022001,High Access,43864.0524902344,867.115944683115
5715,421010169022000,High Access,81818.2681274414,1145.74590385906
5716,421010169013021,High Access,109530.096130371,1344.08047760505
5717,421010169013022,High Access,137612.508117676,1517.64294174898
5718,421010172023003,Low Access,97507.9898071289,1499.70318688576
5719,421010172022006,Low Access,46786.0953369141,1055.79233910133
5720,421010169021008,High Access,68143.6824951172,1152.54207871075
5721,421010169013004,High Access,70143.0550537109,1221.17711225978
5722,421010169024002,Low Access,89009.1253662109,1483.22032043675
5723,421019800001050,Low Access,96529.8848266602,1487.57584177639
5724,421010151012006,Low Access,96737.1974487305,1330.11467126525
5725,421010152002004,High Access,12674.5827636719,570.3332367422
5726,421010172013014,Low Access,86154.5138549805,1408.46280004086
5727,421010172011007,High Access,87788.8018798828,1421.37712182732
5728,421010168002000,High Access,92568.0257568359,1314.82440952915
5729,421010172012002,High Access,93694.8375854492,1489.31973368429
5730,421010172021000,Moderate Access,87012.0343017578,1427.5378268427
5731,421010168005003,High Access,72294.7075805664,1226.47414647705
5732,421010171004010,High Access,102327.90020752,1350.03396865033
5733,421010171001008,High Access,90168.6303710938,1312.36796951859
5734,421010171001003,High Access,87684.1396484375,1463.74446074801
5735,421010171001004,High Access,74047.50390625,1416.54182691671
5736,421010171001007,High Access,75647.4413452148,1249.30303652627
5737,421010171001001,High Access,91624.0454101563,1478.98036021563
5738,421010171001000,High Access,78834.8745117188,1434.85517128391
5739,421010170001006,No Access,91809.1948242188,1733.21502628206
5740,421010171004001,High Access,206477.923828125,1880.98066731813
5741,421010170001020,Low Access,456618.3984375,3176.6368780809
5742,421010170001019,Low Access,120157.821899414,1516.50353374383
5743,421010171002001,High Access,130941.724487305,1616.35667015376
5744,421010171002000,High Access,132388.019348145,1617.97875008044
5745,421010172013004,High Access,68706.5137939453,1205.89030011422
5746,421010171001005,High Access,79377.2841796875,1438.13303238144
5747,421010171002002,High Access,93486.1424560547,1487.84259977424
5748,421010171004002,Moderate Access,21233.1015625,678.037598407551
5749,421010171004011,High Access,58529.2376098633,1150.50872722067
5750,421010170001018,No Access,123583.897277832,1536.23494761134
5751,421010172013002,High Access,87517.4731445313,1271.59611211226
5752,421010172013003,High Access,92963.1826782227,1434.84325878176
5753,421010170001022,No Access,5004.68908691406,480.648214180353
5754,421010171001002,High Access,257447.993225098,2045.04492594273
5755,421010164003004,Low Access,80674.7493286133,1448.1832997575
5756,421010175003011,Low Access,101281.497009277,1284.51824838806
5757,421010165003019,High Access,71881.4796142578,1214.89461533235
5758,421010165003007,High Access,32724.8277587891,863.837358306703
5759,421010164003006,Low Access,173746.394897461,1762.64270484943
5760,421010174001004,High Access,65723.4146118164,1163.59369979778
5761,421010174001019,High Access,117827.824707031,1529.9159338485
5762,421010175004007,High Access,141454.388427734,1618.52923398033
5763,421010165003008,High Access,86856.6167602539,1280.78706410337
5764,421010200002015,Moderate Access,165741.125915527,1709.65793454912
5765,421010167011001,High Access,33011.1924438477,883.75135019065
5766,421010167022005,High Access,86474.2548217773,1417.96896036873
5767,421010167023002,High Access,59791.0415649414,1161.01049881761
5768,421010167022006,High Access,21062.2584838867,624.474665773261
5769,421010167021006,Low Access,124205.329711914,1554.19656275846
5770,421010167023018,Low Access,35815.7786254883,766.671623810545
5771,421010167024001,Low Access,132281.212036133,1627.77631963449
5772,421010167023005,High Access,123428.472900391,1548.18749470885
5773,421010165002008,Low Access,104746.224243164,1616.84912130078
5774,421010173002022,High Access,20455.4744873047,698.938287453298
5775,421010200001010,High Access,105029.252502441,2508.27489079777
5776,421010174002006,High Access,52896.2124633789,983.274538894142
5777,421010165003000,Low Access,98845.7805786133,1277.93192686272
5778,421010165001007,High Access,60431.0612792969,1161.27441010097
5779,421010165002002,Low Access,89535.9038085938,1428.49504680536
5780,421010166001011,High Access,131542.866699219,1621.10590879687
5781,421010165003015,High Access,151108.983581543,1760.06558263761
5782,421010165002000,Low Access,88327.3927001953,1428.92705569602
5783,421010165003023,High Access,11237.6840820313,530.449185347639
5784,421010165003022,High Access,87354.8028564453,1284.26031300541
5785,421010201013011,High Access,61416.4144897461,1211.11179915544
5786,421010201013006,High Access,73369.8400878906,1217.87748718585
5787,421010201013005,High Access,123183.992797852,1546.05490855056
5788,421010173002035,High Access,313170.143981934,2233.76757224812
5789,421010173001006,High Access,72763.1243286133,1166.86575815898
5790,421010173002039,High Access,62038.9325561523,1133.06745226694
5791,421010173002057,High Access,13118.1130371094,558.281529072734
5792,421010168006009,High Access,75209.1704101563,1253.19893339223
5793,421010168006012,High Access,88214.235168457,1414.6728627106
5794,421010168004006,Low Access,94014.7960205078,1494.40354523627
5795,421010152002017,Low Access,92225.96875,1463.81069977376
5796,421010152001002,Low Access,105629.767089844,1512.02497768818
5797,421010168003000,Moderate Access,88527.416015625,1424.17346764423
5798,421010167012009,High Access,71730.8436279297,1364.14703002983
5799,421010167013003,Low Access,87210.4186401367,1417.7347237608
5800,421010201012000,High Access,147852.012695313,1701.67296217788
5801,421010200001004,High Access,217606.734741211,1914.83591339585
5802,421010175001007,High Access,40389.1762695313,866.632132566725
5803,421010175001011,High Access,68570.8309936523,1350.50993484933
5804,421010199004026,Low Access,62183.5396728516,1171.96566323205
5805,421010199004027,Low Access,119434.413635254,1522.06869778875
5806,421010199004034,High Access,10255.8018798828,515.988921407917
5807,421010200001006,High Access,29225.4998168945,739.926167151547
5808,421010167011006,High Access,87058.9967651367,1421.72232585231
5809,421010173002043,High Access,45886.3357543945,1677.67071352063
5810,421010173002054,High Access,117434.817749023,1504.56689260201
5811,421010167024007,Low Access,92611.0162353516,1487.53847589542
5812,421010165002004,High Access,15177.4559326172,864.103644544325
5813,421010168006004,High Access,111960.167602539,3328.53405024695
5814,421010168006015,High Access,32081.4232788086,874.366571235288
5815,421010168004004,Low Access,132186.139160156,1627.00331394774
5816,421010173002031,High Access,87701.8356933594,1415.96277804836
5817,421010173002029,High Access,125666.708557129,2052.33341281553
5818,421010168006008,High Access,14545.891784668,539.928808867632
5819,421010168006007,High Access,50093.086730957,1081.67532244211
5820,421010167012006,High Access,87533.8938598633,1479.09760003153
5821,421010167013002,Low Access,87490.2839355469,1417.04324670999
5822,421010167013000,Low Access,87203.7902832031,1421.06154223044
5823,421010201012003,High Access,83405.121887207,1454.62614075386
5824,421010200001000,High Access,66516.279296875,1108.45619779332
5825,421010167011002,High Access,67894.7237548828,1318.77172905552
5826,421010173002051,High Access,41453.1252441406,877.668340114798
5827,421010173002019,High Access,19033.1893310547,650.181595777471
5828,421010173001001,High Access,34873.3600463867,758.016971656513
5829,421010173002016,Low Access,220890.505371094,2441.60377756804
5830,421010168006001,High Access,202879.15612793,2270.20826721286
5831,421010201012008,High Access,71573.0068359375,1233.00917893349
5832,421010174002016,High Access,41009.2577514648,962.505648735489
5833,421010174002018,High Access,125521.188842773,1419.07983569029
5834,421010166001001,High Access,338986.828186035,2870.36411180079
5835,421010173002045,High Access,58712.9795532227,1186.93399695723
5836,421010174002007,High Access,72391.6942749023,1116.95388992551
5837,421010167023012,High Access,27651.4401855469,694.039987034073
5838,421010166001002,Low Access,93724.8296508789,1606.8058259342
5839,421010174002020,High Access,85373.7005004883,1276.50587319804
5840,421010174001016,High Access,116333.378845215,1415.23302609385
5841,421010164003014,Low Access,50146.0354614258,914.576073225377
5842,421010164003013,Low Access,117425.704101563,1777.32588634094
5843,421010165003009,High Access,53232.7934570313,1011.06034229533
5844,421010174001008,High Access,123084.745300293,1548.65959290811
5845,421010174001009,High Access,109942.221008301,1500.77778638982
5846,421010174001017,Moderate Access,101702.72064209,1299.87684281732
5847,421010166001009,Moderate Access,92772.1547241211,1439.48245906548
5848,421010166001007,High Access,83029.8344726563,1405.43627524893
5849,421010165003004,Low Access,87605.0905761719,1423.42168493156
5850,421010165002005,Moderate Access,51618.2117919922,1070.91369694818
5851,421010168006000,High Access,24770.9459838867,724.024734252374
5852,421010167012002,High Access,24309.868347168,818.37133084648
5853,421010173002037,High Access,79465.5532226563,1418.27867714042
5854,421010173002030,High Access,123549.909912109,1507.33993998661
5855,421010173002040,High Access,267054.792663574,2596.23200932734
5856,421010168006011,High Access,71425.6246948242,1363.78432833138
5857,421010173002023,High Access,275519.472045898,2279.01636304853
5858,421010167024003,Low Access,70409.6461791992,1410.28324004672
5859,421010172013008,Low Access,46252.0936889648,886.63668848865
5860,421010172013016,High Access,27291.5739746094,757.288580678419
5861,421010173002009,High Access,146636.858886719,1614.07433005029
5862,421010173002002,Low Access,352946.970947266,3230.45859154378
5863,421010167013005,Moderate Access,87952.3698120117,1423.03416646097
5864,421010167012004,High Access,87048.307434082,1413.74899814943
5865,421010167013004,Low Access,69838.4958496094,1358.23896528223
5866,421010167011005,High Access,71869.7034301758,1361.97081115219
5867,421010167013001,Low Access,72667.5576782227,1367.67113847345
5868,421010201013010,High Access,109242.790283203,1468.12051966469
5869,421010201013004,High Access,263069.631835938,2066.75605848942
5870,421010167022001,High Access,73259.4701538086,1393.90849342097
5871,421010167022000,High Access,89494.5559082031,1464.47189052812
5872,421010165002006,Low Access,51191.9455566406,1070.02889679614
5873,421010174002010,High Access,71951.7485351563,1111.83705442726
5874,421010167022007,High Access,102091.446655273,1546.41873241729
5875,421010167023010,High Access,36265.041015625,771.288145597791
5876,421010167024006,Low Access,75824.5565795898,1429.03577035746
5877,421010166001004,Low Access,57991.5197143555,1059.23324881842
5878,421010166002000,Low Access,133124.66809082,1593.63627770554
5879,421010199004030,High Access,9284.04217529297,469.892291290552
5880,421010175001006,High Access,46719.3746948242,1008.99674234968
5881,421010175001009,High Access,88904.5024414063,1485.40671278095
5882,421010175003007,Low Access,32840.8493652344,739.881755830648
5883,421010175003010,Low Access,26654.5637207031,684.73482714503
5884,421010164003012,Low Access,40791.8056640625,903.644077223712
5885,421010166002005,High Access,142137.055480957,1665.91452004382
5886,421010174002019,High Access,34212.8146362305,780.696671070011
5887,421010174002013,High Access,88135.365234375,1289.39346960693
5888,421010174002021,High Access,83316.8919677734,1265.65926188962
5889,421010174001015,High Access,73241.8197631836,1101.41026853617
5890,421010174002023,High Access,92380.6729736328,1306.88606684252
5891,421010174001000,High Access,206758.153198242,2077.92655281073
5892,421010174001013,High Access,64755.7529296875,1048.60697489333
5893,421010165001002,High Access,55786.091003418,1137.65065890181
5894,421010173001008,High Access,93345.1213378906,1435.03728327589
5895,421010173002056,High Access,96538.9241333008,1496.86878362936
5896,421010168006017,High Access,86232.0380859375,1383.11350138029
5897,421010168006013,High Access,83067.0513916016,1284.8669410066
5898,421010168004000,Moderate Access,87957.1787719727,1421.0765142097
5899,421010168003001,Moderate Access,70089.5764160156,1354.54377000145
5900,421010168003006,Low Access,131520.306762695,1621.11220126529
5901,421010167013006,Low Access,94977.7595214844,1497.58782235453
5902,421010167011009,Moderate Access,88052.8770141602,1425.691251381
5903,421010167013008,Low Access,94114.2465209961,1494.90441040115
5904,421010201013007,High Access,43426.9329223633,866.266674726985
5905,421010201013008,High Access,34582.1310424805,800.779736703495
5906,421010201013012,High Access,123361.742004395,1546.93488760638
5907,421010200001002,High Access,124588.161010742,1556.69770659856
5908,421010200001005,High Access,28775.7030029297,736.230412362482
5909,421010167023001,High Access,73806.7777099609,1219.79990524508
5910,421010166001010,High Access,131461.36151123,1621.80973677871
5911,421010165003014,High Access,87342.6947021484,1283.6993816404
5912,421010165003006,Moderate Access,57877.2153930664,1041.97278596252
5913,421010173002052,High Access,46229.9704589844,1006.09040313286
5914,421010173002053,High Access,73130.8787231445,1233.39521818232
5915,421010166001000,High Access,373889.214172363,2924.21309278477
5916,421010167023016,Low Access,124306.076660156,1552.48362365728
5917,421010167023011,High Access,29160.7206420898,707.112464745487
5918,421010167024000,Low Access,138822.731140137,1648.03311496364
5919,421010166002002,Low Access,132235.856994629,1589.78426828891
5920,421010174002022,High Access,78416.837097168,1122.27691142781
5921,421010174002012,High Access,71567.9130859375,1214.25747956466
5922,421010172013006,High Access,40209.7207641602,818.676544915137
5923,421010174002004,High Access,88206.1835327148,1287.55568513735
5924,421010165002003,High Access,58827.1072998047,1106.4146354102
5925,421010173001009,High Access,99874.0263671875,1467.01261510497
5926,421010173002032,High Access,71241.5469970703,1366.82942738067
5927,421010168006006,High Access,34759.7478637695,840.638645493656
5928,421010167012008,Moderate Access,87296.1528930664,1421.80645747301
5929,421010167013010,Low Access,76621.0457763672,1432.27716642025
5930,421010173002011,High Access,123144.82989502,1449.67630528403
5931,421010173002010,High Access,126021.869140625,1463.9496574676
5932,421010173002008,Moderate Access,146571.031799316,1612.90130608997
5933,421010166001006,Low Access,48024.349609375,1013.45044297469
5934,421010166001013,High Access,96869.4229125977,1537.72281553154
5935,421010173002047,High Access,72983.9649047852,1249.41396491515
5936,421010167021002,Low Access,72255.8818359375,1361.91927925703
5937,421010167023004,High Access,29648.0130004883,712.182756857108
5938,421010167023006,High Access,131519.937438965,1579.94457265768
5939,421010167023013,Low Access,64460.1661376953,1023.92313953447
5940,421010166002001,Low Access,81060.7021484375,1384.70813473057
5941,421010174002008,High Access,55060.7194824219,1024.01989390833
5942,421010174002009,High Access,26244.9696655273,717.934600218871
5943,421010174001001,High Access,63793.5348510742,1160.45573451815
